Capillary Position;Is Outlier;Ligand Concentration [M];Ratio 670nm / 650nm;Ligand Concentration [M] (fitted);Ratio 670nm / 650nm (fitted)
16;False;1.52587890625E-10;1.35895879578869;3.0517578125E-11;1.3603187937018
15;False;3.0517578125E-10;1.36217367787581;3.35693359375E-11;1.36032396403936
14;False;6.103515625E-10;1.37370753094098;3.692626953125E-11;1.36032965096403
13;False;1.220703125E-09;1.36701930778468;4.0618896484375E-11;1.36033590604075
12;False;2.44140625E-09;1.35287361420909;4.46807861328125E-11;1.36034278597125
11;False;4.8828125E-09;1.25368915272764;4.91488647460938E-11;1.36035035310362
10;False;9.765625E-09;1.35336375274906;5.40637512207031E-11;1.36035867599195
9;False;1.953125E-08;1.40110112474145;5.94701263427735E-11;1.36036783001085
8;False;3.90625E-08;1.41000720440278;6.54171389770508E-11;1.36037789803021
7;False;7.8125E-08;1.41452142630761;7.19588528747559E-11;1.36038897115588
6;False;1.5625E-07;1.41791328595715;7.91547381622315E-11;1.36040114954253
5;False;3.125E-07;1.4351982104852;8.70702119784547E-11;1.36041454328558
4;False;6.25E-07;1.42167003180639;9.57772331763001E-11;1.36042927339963
3;False;1.25E-06;1.44127946476917;1.0535495649393E-10;1.36044547289137
2;False;2.5E-06;1.428819272032;1.15890452143323E-10;1.36046328793589
1;False;5E-06;1.46005213587719;1.27479497357655E-10;1.36048287916573
;;;;1.40227447093421E-10;1.36050442308311
;;;;1.54250191802763E-10;1.36052811360627
;;;;1.69675210983039E-10;1.36055416376197
;;;;1.86642732081343E-10;1.36058280753696
;;;;2.05307005289478E-10;1.36061430190214
;;;;2.25837705818426E-10;1.36064892902415
;;;;2.48421476400268E-10;1.36068699867984
;;;;2.73263624040295E-10;1.3607288508903
;;;;3.00589986444325E-10;1.36077485879174
;;;;3.30648985088757E-10;1.36082543176124
;;;;3.63713883597633E-10;1.36088101881643
;;;;4.00085271957396E-10;1.36094211230815
;;;;4.40093799153136E-10;1.36100925192578
;;;;4.84103179068449E-10;1.3610830290348
;;;;5.32513496975294E-10;1.36116409136534
;;;;5.85764846672824E-10;1.36125314807009
;;;;6.44341331340106E-10;1.36135097516744
;;;;7.08775464474117E-10;1.36145842138396
;;;;7.79653010921529E-10;1.36157641440579
;;;;8.57618312013682E-10;1.3617059675441
;;;;9.4338014321505E-10;1.36184818681265
;;;;1.03771815753656E-09;1.36200427840644
;;;;1.14148997329021E-09;1.36217555655929
;;;;1.25563897061923E-09;1.3623634517432
;;;;1.38120286768116E-09;1.362569519154
;;;;1.51932315444927E-09;1.36279544740454
;;;;1.6712554698942E-09;1.36304306731834
;;;;1.83838101688362E-09;1.36331436068102
;;;;2.02221911857198E-09;1.36361146876427
;;;;2.22444103042918E-09;1.36393670038492
;;;;2.4468851334721E-09;1.36429253919927
;;;;2.69157364681931E-09;1.36468164985837
;;;;2.96073101150124E-09;1.36510688256206
;;;;3.25680411265136E-09;1.36557127544688
;;;;3.5824845239165E-09;1.36607805412414
;;;;3.94073297630815E-09;1.36663062754999
;;;;4.33480627393896E-09;1.36723257925835
;;;;4.76828690133286E-09;1.36788765282377
;;;;5.24511559146615E-09;1.36859973024862
